,book_id,book_title,book_author,year_of_publication,publisher,Category,img_l,Social Science,Actresses,History,Medical,Design,Fiction,Nature,Humor,Cooking,Reference,Juvenile_Fiction,Canadian fiction,Health & Fitness,FICTION,Control (Psychology),Cholistan Desert (Pakistan),Science,Political ethics,Conduct of life,Horses,Political Science,Brothers,"Baggins, Frodo (Fictitious character)",Biography_and_Autobiography,Business & Economics,Americans,Infanticide,Cabala,Literary Criticism,Self-Help,American fiction,Humorous stories,Diary fiction,Religion,German language,"Bloom, Leopold (Fictitious character)",Detective and mystery stories,Gargoyles (Fictitious characters),Oglala Indians,England,Michigan,Foster mothers,Families,Adolescence,Dune (Imaginary place),Animals,Great Britain,London (England),Music,Mars (Planet),Popular literature,Fairy tales,"""Childrens stories""",Jews,"Fantasy fiction, English",Arctic regions,Poetry,Comics & Graphic Novels,"Comic books, strips, etc","Fantasy comic books, strips, etc",Language Arts & Disciplines,Aerospace engineers,Greek poetry,Juvenile Nonfiction,Gay men,Orphans,Family problems,Computers,American literature,Popular music,Businessmen,Psychology,"Body, Mind & Spirit",Self-perception,Literary Collections,Women,Arthurian romances,Fantasy fiction,Animal welfare,Criminals,Adulteresses,Games,Rapture (Christian eschatology),Presidents,Family & Relationships,Education,Art,Fantasy,Courage,Horror tales,Feminists,Philosophy,Growth,Astronomy,Dinosaurs,Jealousy,Adventure and adventurers,Gardens,Clocks and watches,Community colleges,Popular culture,Technology & Engineering,Country life,Artists,Caribbean Area,Kenya,Canon (Literarature),Courtship,Israeli drama,Feminism,German language materials,Young Adult Nonfiction,Performing Arts,Bk. 1,Exercise,Glasgow (Scotland),"Decoration and ornament, Celtic",Colombian fiction,Young Adult Fiction,Sports & Recreation,Flute,"Ryan, Jack (Fictitious character)",English language,Investments,Travel,Journalists,Authorship,Actors,"Science fiction, French",JUVENILE FICTION,Trials (Murder),Continental European fiction (Fictional works by one author).,"Authors, American",California,Pets,Bosnia and Hercegovina,Crafts & Hobbies,Berlin (Germany),"Covenant, Thomas (Fictitious character)",Blind,China,Bildungsromans,Monastic and religious life,British and Irish fiction (Fictional works by one author).,Brothers and sisters,Drama,Ballet dancers,Atomic bomb,Dogs,"Authors, Chilean","Detective and mystery stories, English",Character,Dwellings,Cork (Ireland : County),African American fiction,Life on other planets,Alchemists,Geishas,Christian fiction,Christmas stories,Fairies,Elephants,"Fantasy fiction, French",German fiction,Imaginary wars and battles,Biological warfare,Audiobooks,True Crime,Italian fiction,Cherokee Indians,African American men,"Dent, Arthur (Fictitious character)",Cats,Brewing,Environmental protection,"Moving, Household",Avarice,Extraterrestrial beings,Domestic fiction,"Fantasy fiction, American",Force and energy,Outer space,Book burning,English drama,Law,Connecticut,Relaxation,Dutch Americans,Assertiveness (Psychology),Football players,"""Bugs life (Motion picture)""",Science fiction,French literature,Adopted children,Canada,Engineers,Battle of Britain,Ultramarine,Australian fiction,Historiography,African Americans
0,0,Classical Mythology,Mark P. O. Morford,2002,Oxford University Press,['Social Science'],http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2005018,Clara Callan,Richard Bruce Wright,2001,HarperFlamingo Canada,['Actresses'],http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60973129,Decision in Normandy,Carlo D'Este,1991,HarperPerennial,['History'],https://images-na.ssl-images-amazon.com/images/I/518AAWFZTHL.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,Farrar Straus Giroux,['Medical'],http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,393045218,The Mummies of Urumchi,E. J. W. Barber,1999,W. W. Norton & Company,['Design'],http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,399135782,The Kitchen God's Wife,Amy Tan,1991,Putnam Pub Group,['Fiction'],https://images-na.ssl-images-amazon.com/images/I/71xzcf8mwtL.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,Berkley Publishing Group,['History'],http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,671870432,PLEADING GUILTY,Scott Turow,1993,Audioworks,['Fiction'],http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,Random House,['Fiction'],http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,74322678,Where You'll Find Me: And Other Stories,Ann Beattie,2002,Scribner,['Fiction'],http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
