,2 195153448 0
0,8 2005018 10
1,11400 2005018 0
2,11676 2005018 8
3,41385 2005018 4
4,67544 2005018 8
5,85526 2005018 8
6,96054 2005018 10
7,116866 2005018 9
8,123629 2005018 9
9,177458 2005018 6
10,200273 2005018 8
11,210926 2005018 9
12,219008 2005018 7
13,263325 2005018 6
14,8 60973129 1
15,2954 60973129 8
16,152827 60973129 7
17,8 374157065 9
18,35704 374157065 6
19,83160 374157065 1
20,110912 374157065 10
21,137688 374157065 4
22,157969 374157065 8
23,169187 374157065 6
24,192665 374157065 8
25,197659 374157065 9
26,208059 374157065 6
27,209163 374157065 7
28,8 393045218 4
29,8 399135782 8
30,11676 399135782 9
31,29526 399135782 9
32,36836 399135782 4
33,46398 399135782 9
34,49300 399135782 10
35,49635 399135782 9
36,67958 399135782 10
37,113270 399135782 3
38,113519 399135782 6
39,115097 399135782 7
40,136509 399135782 8
41,148712 399135782 10
42,153461 399135782 3
43,178269 399135782 5
44,180297 399135782 6
45,188589 399135782 6
46,194722 399135782 9
47,198013 399135782 7
48,200674 399135782 1
49,207148 399135782 3
50,211919 399135782 2
51,212449 399135782 8
52,213191 399135782 8
53,230522 399135782 7
54,236322 399135782 9
55,238557 399135782 10
56,242247 399135782 1
57,245827 399135782 9
58,248583 399135782 5
59,252282 399135782 1
60,252921 399135782 8
61,255661 399135782 5
62,8 425176428 6
63,52614 425176428 8
64,56193 425176428 1
65,225910 425176428 2
66,274634 425176428 9
67,8 671870432 8
68,11676 671870432 8
69,24539 671870432 10
70,8 679425608 8
71,8 74322678 5
72,8 771074670 1
73,11676 771074670 4
74,98499 771074670 10
75,166596 771074670 5
76,189238 771074670 6
77,223066 771074670 3
78,8 80652121 6
79,8 887841740 5
80,92861 887841740 2
81,8 1552041778 5
82,8 1558746218 3
83,3363 1558746218 10
84,61501 1558746218 7
85,148514 1558746218 10
86,174304 1558746218 6
87,177090 1558746218 6
88,256233 1558746218 3
89,263256 1558746218 10
90,8 1567407781 6
91,8 1575663937 6
92,176875 1575663937 6
93,213915 1575663937 3
94,8 1881320189 7
95,35826 1881320189 2
96,226745 1881320189 7
97,9 440234743 10
98,243 440234743 8
99,388 440234743 1
100,2977 440234743 4
101,3329 440234743 8
102,3363 440234743 1
103,5760 440234743 3
104,6795 440234743 10
105,7346 440234743 9
106,7352 440234743 8
107,9419 440234743 5
108,9747 440234743 3
109,9856 440234743 9
110,11224 440234743 6
111,11676 440234743 9
112,12685 440234743 10
113,12923 440234743 10
114,13552 440234743 8
115,13582 440234743 3
116,14521 440234743 8
117,16666 440234743 10
118,16795 440234743 10
119,17761 440234743 10
120,19445 440234743 1
121,20435 440234743 10
122,20462 440234743 5
123,20783 440234743 5
124,20801 440234743 8
125,20916 440234743 7
126,21264 440234743 5
127,23511 440234743 8
128,23768 440234743 9
129,26240 440234743 5
130,26544 440234743 10
131,26593 440234743 10
132,27684 440234743 9
133,28123 440234743 9
134,28619 440234743 7
135,29654 440234743 8
136,30487 440234743 6
137,30533 440234743 6
138,31299 440234743 10
139,31315 440234743 10
140,31556 440234743 3
141,31560 440234743 6
142,31694 440234743 1
143,32516 440234743 1
144,35857 440234743 3
145,35859 440234743 8
146,36606 440234743 4
147,37874 440234743 10
148,38718 440234743 9
149,38991 440234743 8
150,39345 440234743 9
151,39646 440234743 1
152,40889 440234743 10
153,41781 440234743 5
154,44663 440234743 8
155,45585 440234743 7
156,46389 440234743 8
157,46398 440234743 4
158,46767 440234743 9
159,47971 440234743 8
160,48268 440234743 4
161,48911 440234743 10
162,49168 440234743 9
163,49994 440234743 2
164,52584 440234743 1
165,52994 440234743 3
166,54005 440234743 9
167,54884 440234743 8
168,55027 440234743 7
169,55419 440234743 8
170,55492 440234743 6
171,57108 440234743 1
172,57423 440234743 8
173,57632 440234743 5
174,59038 440234743 6
175,59390 440234743 5
176,60130 440234743 5
177,60569 440234743 1
178,60683 440234743 6
179,62667 440234743 8
180,62881 440234743 5
181,63470 440234743 10
182,64535 440234743 7
183,64605 440234743 4
184,64679 440234743 4
185,66387 440234743 6
186,67487 440234743 6
187,68256 440234743 10
188,68537 440234743 10
189,69232 440234743 3
190,70205 440234743 8
191,70666 440234743 7
192,72523 440234743 10
193,72912 440234743 1
194,72975 440234743 7
195,74709 440234743 6
196,75691 440234743 9
197,75819 440234743 7
198,76352 440234743 5
199,76368 440234743 3
200,76942 440234743 9
201,78165 440234743 10
202,78754 440234743 8
203,78834 440234743 10
204,78973 440234743 7
205,79186 440234743 9
206,79740 440234743 7
207,80810 440234743 6
208,81088 440234743 1
209,81298 440234743 9
210,82114 440234743 9
211,82893 440234743 1
212,83034 440234743 3
213,84024 440234743 2
214,84611 440234743 8
215,85534 440234743 7
216,86303 440234743 7
217,86969 440234743 8
218,87257 440234743 3
219,87929 440234743 2
220,88006 440234743 4
221,90322 440234743 1
222,91633 440234743 5
223,91832 440234743 5
224,93055 440234743 7
225,93363 440234743 2
226,93643 440234743 10
227,93772 440234743 9
228,93800 440234743 6
229,94074 440234743 10
230,94139 440234743 8
231,94396 440234743 8
232,97721 440234743 10
233,98012 440234743 2
234,98468 440234743 5
235,98723 440234743 8
236,98923 440234743 7
237,100009 440234743 9
238,100393 440234743 5
239,101209 440234743 7
240,102647 440234743 4
241,102967 440234743 8
242,103315 440234743 8
243,103416 440234743 7
244,105124 440234743 6
245,105624 440234743 1
246,105937 440234743 8
247,105979 440234743 5
248,106230 440234743 9
249,106273 440234743 4
250,107201 440234743 4
251,107244 440234743 2
252,107784 440234743 9
253,108143 440234743 9
254,108207 440234743 1
255,108247 440234743 10
256,110127 440234743 5
257,110440 440234743 1
258,110558 440234743 5
259,110973 440234743 10
260,112001 440234743 1
261,112093 440234743 4
262,112280 440234743 9
263,113328 440234743 10
264,114544 440234743 2
265,115003 440234743 9
266,115120 440234743 4
267,116127 440234743 8
268,116428 440234743 6
269,117594 440234743 8
270,118659 440234743 8
271,119332 440234743 7
272,120396 440234743 10
273,120771 440234743 8
274,122251 440234743 7
275,122440 440234743 9
276,122658 440234743 9
277,123137 440234743 7
278,123430 440234743 5
279,123790 440234743 5
280,123981 440234743 6
281,124259 440234743 9
282,124363 440234743 4
283,124487 440234743 10
284,125039 440234743 3
285,125519 440234743 8
286,126492 440234743 10
287,127200 440234743 3
288,128185 440234743 6
289,128208 440234743 10
290,128463 440234743 7
291,129084 440234743 8
292,130784 440234743 8
293,131046 440234743 5
294,131681 440234743 9
295,131703 440234743 9
296,131837 440234743 9
297,132144 440234743 9
298,133706 440234743 8
299,133738 440234743 9
300,134264 440234743 10
301,134797 440234743 8
302,134863 440234743 8
303,135149 440234743 8
304,135831 440234743 8
305,136096 440234743 8
306,136396 440234743 7
307,136707 440234743 6
308,137589 440234743 10
309,140824 440234743 7
310,141444 440234743 2
311,142093 440234743 5
312,143134 440234743 10
313,143253 440234743 8
314,143939 440234743 9
315,144062 440234743 10
316,144255 440234743 5
317,144478 440234743 7
318,144531 440234743 3
319,145619 440234743 5
320,146113 440234743 7
321,146279 440234743 8
322,146816 440234743 10
323,147965 440234743 4
324,148879 440234743 2
325,149120 440234743 7
326,150400 440234743 10
327,150896 440234743 3
328,151004 440234743 9
329,151063 440234743 10
330,152354 440234743 2
331,152696 440234743 10
332,153513 440234743 6
333,153718 440234743 7
334,154730 440234743 7
335,155495 440234743 4
336,156300 440234743 1
337,159440 440234743 4
338,159506 440234743 8
339,160735 440234743 7
340,160819 440234743 4
341,161870 440234743 5
